gagename,event_id,eventdatastart_edt,eventdataend_edt,eventduration_hr,eventpeakintensity_inhr,eventavgintensity_inhr,eventdepth_in
7,238,2023-08-16T09:00:00Z,2023-08-16T09:30:00Z,0.75,0.48,0.2133,0.16
7,239,2023-08-18T06:45:00Z,2023-08-18T10:45:00Z,4.25,0.28,0.0235,0.1
7,240,2023-08-28T00:30:00Z,2023-08-28T01:45:00Z,1.5,0.32,0.0933,0.14
7,241,2023-08-30T12:30:00Z,2023-08-30T12:45:00Z,0.5,0.28,0.22,0.11000000000000001
7,242,2023-09-09T20:15:00Z,2023-09-09T21:45:00Z,1.75,0.44,0.1371,0.24
7,243,2023-09-10T11:45:00Z,2023-09-10T14:30:00Z,3,0.28,0.1333,0.4
7,244,2023-09-10T21:00:00Z,2023-09-11T09:45:00Z,13,2.88,0.1869,2.43
7,245,2023-09-13T07:00:00Z,2023-09-13T13:30:00Z,6.75,0.4,0.0341,0.23
7,246,2023-09-17T20:45:00Z,2023-09-18T15:30:00Z,19,1.12,0.0589,1.12
7,247,2023-09-23T08:00:00Z,2023-09-23T18:15:00Z,10.5,0.28,0.08,0.84
7,248,2023-09-24T01:30:00Z,2023-09-25T03:15:00Z,26,0.32,0.0485,1.26
7,249,2023-09-29T00:45:00Z,2023-09-29T10:15:00Z,9.75,0.68,0.0605,0.59
7,250,2023-10-14T15:00:00Z,2023-10-15T06:00:00Z,15.25,0.16,0.0374,0.5700000000000001
7,251,2023-10-20T08:00:00Z,2023-10-20T11:30:00Z,3.75,0.36,0.048,0.18
7,252,2023-11-01T01:45:00Z,2023-11-01T05:30:00Z,4,0.08,0.0325,0.13
7,253,2023-11-21T18:45:00Z,2023-11-22T10:00:00Z,15.5,1.04,0.1181,1.83
7,254,2023-11-26T20:00:00Z,2023-11-27T05:30:00Z,9.75,0.76,0.0974,0.9500000000000001
7,255,2023-12-01T20:30:00Z,2023-12-02T01:00:00Z,4.75,0.16,0.0863,0.41
7,256,2023-12-03T05:45:00Z,2023-12-03T19:30:00Z,14,0.16,0.0507,0.71
7,257,2023-12-10T18:15:00Z,2023-12-11T13:00:00Z,19,0.72,0.0932,1.77
7,258,2023-12-17T20:45:00Z,2023-12-18T17:00:00Z,20.5,0.92,0.1483,3.04
7,259,2023-12-27T10:00:00Z,2023-12-28T06:45:00Z,21,0.44,0.0648,1.36
7,260,2024-01-06T20:15:00Z,2024-01-07T14:00:00Z,18,0.28,0.0517,0.93
7,261,2024-01-09T15:45:00Z,2024-01-10T05:30:00Z,14,0.92,0.1643,2.3000000000000003
7,262,2024-01-13T02:45:00Z,2024-01-13T16:30:00Z,14,0.48,0.0507,0.71
7,263,2024-01-25T05:30:00Z,2024-01-25T16:00:00Z,10.75,0.16,0.0177,0.19
7,264,2024-01-26T04:30:00Z,2024-01-26T15:30:00Z,11.25,0.16,0.024,0.27
7,265,2024-01-28T06:30:00Z,2024-01-29T00:15:00Z,18,0.4,0.0433,0.78
7,266,2024-02-02T06:15:00Z,2024-02-02T15:45:00Z,9.75,0.08,0.0144,0.14
7,267,2024-02-13T01:45:00Z,2024-02-13T18:30:00Z,17,0.24,0.0476,0.81
7,268,2024-02-17T06:45:00Z,2024-02-17T17:15:00Z,10.75,0.08,0.0158,0.17
