"","smp_id","ow_suffix","event_uid","gage_uid","eventduration_hr","eventpeakintensity_inhr","eventavgintensity_inhr","eventdepth_in","eventdatastart_est","eventdataend_est","peak_level_ft","overtop","draindown_hr","rpsu"
"86","411-1-1","CS1",162,7,2.5,0.24,0.128,0.32,"2022-06-23 13:15:00","2022-06-23 15:30:00",0.2875,"FALSE",-810,0
"87","411-1-1","CS1",163,7,5.5,1.12,0.1509,0.83,"2022-06-27 16:00:00","2022-06-27 21:15:00",1.1009,"FALSE",3.5,18.4663
"88","411-1-1","CS1",164,7,4.25,0.208,0.0675,0.287,"2022-07-07 06:45:00","2022-07-07 10:45:00",0.3582,"FALSE",-810,0
"89","411-1-1","CS1",165,7,0.75,2.12,0.9867,0.74,"2022-07-25 19:00:00","2022-07-25 19:30:00",0.331,"FALSE",-810,1.0154
"90","411-1-1","CS1",166,7,0.75,1.4,0.6533,0.49,"2022-07-28 23:45:00","2022-07-29 00:15:00",0.3031,"FALSE",-810,0.174
"91","411-1-1","CS1",167,7,11.5,0.36,0.0365,0.42,"2022-08-01 00:30:00","2022-08-01 11:45:00",1.3957,"FALSE",-810,0
"92","411-1-1","CS1",168,7,2.25,1.72,0.32,0.72,"2022-08-11 06:45:00","2022-08-11 08:45:00",0.295,"FALSE",-810,0
"93","411-1-1","CS1",169,7,0.75,1,0.5467,0.41,"2022-08-21 19:45:00","2022-08-21 20:15:00",1.4605,"FALSE",2.5,33.3731
"94","411-1-1","CS1",170,7,7.5,0.36,0.052,0.39,"2022-08-22 04:00:00","2022-08-22 11:15:00",1.4605,"FALSE",2.5,32.1332
"95","411-1-1","CS1",171,7,6.5,1.28,0.0985,0.64,"2022-08-22 17:30:00","2022-08-22 23:45:00",0.3907,"FALSE",0.25,3.8202
"96","411-1-1","CS1",172,7,3.5,0.96,0.0914,0.32,"2022-08-30 22:30:00","2022-08-31 01:45:00",0.2944,"FALSE",-810,0
"97","411-1-1","CS1",173,7,7,0.8,0.2457,1.72,"2022-09-06 09:00:00","2022-09-06 15:45:00",2.5398,"FALSE",29.75,29.9145
"98","411-1-1","CS1",174,7,13.5,0.32,0.0363,0.49,"2022-09-11 13:15:00","2022-09-12 02:30:00",3.1561,"FALSE",-820,81.1721
"99","411-1-1","CS1",175,7,5.5,0.92,0.0655,0.36,"2022-09-12 23:15:00","2022-09-13 04:30:00",3.1561,"FALSE",3.75,80.7277
"100","411-1-1","CS1",176,7,1.75,0.92,0.16,0.28,"2022-09-25 18:15:00","2022-09-25 19:45:00",0.2544,"FALSE",-810,0
"101","411-1-1","CS1",177,7,12.25,0.44,0.0824,1.01,"2022-10-01 00:30:00","2022-10-01 12:30:00",1.7147,"FALSE",-820,44.4223
"102","411-1-1","CS1",178,7,71,0.64,0.0414,2.94,"2022-10-02 05:15:00","2022-10-05 04:00:00",2.9983,"FALSE",-830,77.4654
"103","411-1-1","CS1",179,7,13,0.36,0.0585,0.76,"2022-10-13 18:00:00","2022-10-14 06:45:00",1.1626,"FALSE",1,25.2031
"104","411-1-1","CS1",180,7,2.25,0.92,0.1822,0.41,"2022-10-17 21:00:00","2022-10-17 23:00:00",0.2304,"FALSE",-810,0
"105","411-1-1","CS1",181,7,1.75,0.16,0.0629,0.11,"2022-10-23 19:15:00","2022-10-23 20:45:00",0.8068,"FALSE",1.25,19.7793
"106","411-1-1","CS1",182,7,4.5,0.76,0.0844,0.38,"2022-10-24 06:00:00","2022-10-24 10:15:00",0.8068,"FALSE",-810,0
"107","411-1-1","CS1",183,7,8.75,0.2,0.0286,0.25,"2022-10-31 21:45:00","2022-11-01 06:15:00",0.2461,"FALSE",-810,0
"108","411-1-1","CS1",184,7,6.25,0.6,0.0752,0.47,"2022-11-11 15:30:00","2022-11-11 21:30:00",1.2465,"FALSE",-810,1.3885
"109","411-1-1","CS1",185,7,10.5,0.36,0.1152,1.21,"2022-11-15 23:00:00","2022-11-16 09:15:00",1.8591,"FALSE",-820,20.7439
"110","411-1-1","CS1",186,7,5.25,0.24,0.0648,0.34,"2022-11-27 17:30:00","2022-11-27 22:30:00",0.1724,"FALSE",-810,0
"111","411-1-1","CS1",187,7,8,0.2,0.0762,0.61,"2022-11-30 14:15:00","2022-11-30 22:00:00",1.3758,"FALSE",-810,0.265
"112","411-1-1","CS1",188,7,12.25,0.16,0.04,0.49,"2022-12-03 11:15:00","2022-12-03 23:15:00",1.7955,"FALSE",-810,0
"113","411-1-1","CS1",189,7,24.75,0.2,0.0255,0.63,"2022-12-06 13:30:00","2022-12-07 14:00:00",1.7526,"FALSE",-820,26.8619
"114","411-1-1","CS1",190,7,29,0.4,0.0617,1.79,"2022-12-15 13:15:00","2022-12-16 18:00:00",2.3176,"FALSE",-820,40.4157
"115","411-1-1","CS1",191,7,25.5,0.32,0.0396,1.01,"2022-12-22 16:00:00","2022-12-23 17:15:00",1.9639,"FALSE",-830,29.513
"116","411-1-1","CS1",192,7,13,0.12,0.0254,0.33,"2022-12-31 15:30:00","2023-01-01 04:15:00",1.4458,"FALSE",6.25,35.0166
"117","411-1-1","CS1",193,7,2,0.12,0.06,0.12,"2023-01-03 15:45:00","2023-01-03 17:30:00",0.2687,"FALSE",-810,0
"118","411-1-1","CS1",194,7,2.75,0.08,0.0473,0.13,"2023-01-06 03:30:00","2023-01-06 06:00:00",0.3628,"FALSE",-810,0
"119","411-1-1","CS1",195,7,16.75,0.36,0.0579,0.97,"2023-01-19 10:30:00","2023-01-20 03:00:00",2.0346,"FALSE",-820,30.5192
"120","411-1-1","CS1",196,7,22,0.2,0.0373,0.82,"2023-01-22 20:45:00","2023-01-23 18:30:00",1.9231,"FALSE",-820,27.0993
"121","411-1-1","CS1",197,7,12.25,0.48,0.0988,1.21,"2023-01-25 19:00:00","2023-01-26 07:00:00",3.4024,"FALSE",-830,80.7683
